apogee_id,glon,glat,snr,vhelio_avg,vscatter,teff,logg,m_h,alpha_m
2M12190130+4021594,147.73059,75.16228,147.4737,-5.146597,0.01699162,4944.087,4.501145,-0.079823,0.1058553
2M12190130+4021594,147.73059,75.16228,147.4737,-5.146597,0.01699162,4944.087,4.501145,-0.079823,0.1058553
2M12190204+3852328,150.83863,76.44385,124.0782,4.563697,0.229745,3608.228,4.670686,-9999,-9999
2M12190522+1459021,269.5171,75.71246,150.2763,-2.054907,0.06828071,4650.692,4.547794,-0.19162,0.0310533
2M12190619+4004444,148.23616,75.41999,89.16964,-10.67035,0.08520435,4570.035,4.576476,-0.027551,-0.0190507
2M12190619+4004444,148.23616,75.41999,89.16964,-10.67035,0.08520435,4570.035,4.576476,-0.027551,-0.0190507
2M12191144+1448227,269.96533,75.5717,159.0396,18.69953,0.04170785,4881.263,4.545672,0.18562,0.0105348
2M12191325+0529482,281.97595,67.0484,105.4428,-29.92219,0.06764454,4999.645,4.551522,-0.17468,0.1717353
2M12191325+0529482,281.97595,67.0484,105.4428,-29.92219,0.06764454,4999.645,4.551522,-0.17468,0.1717353
2M12191538+2530255,223.79575,82.61005,325.68,5.853796,0.1028706,4826,4.589354,0.035134,0.0106143
2M12191848+1309053,273.08846,74.13129,322.5123,8.659116,0.01151502,4429.486,4.558148,-0.11134,-0.0448447
2M12191997+0510510,282.2989,66.7577,48.93616,8.436215,0.6803015,4050.719,4.607583,-0.16717,-0.0609027
2M12191997+0510510,282.2989,66.7577,48.93616,8.436215,0.6803015,4050.719,4.607583,-0.16717,-0.0609027
2M12191997+0510510,282.2989,66.7577,48.93616,8.436215,0.6803015,4050.719,4.607583,-0.16717,-0.0609027
2M12192666+1351180,271.98258,74.77019,78.88024,-13.44552,0.419926,4667.198,4.290833,-0.45875,0.0268343
2M12192856+0520304,282.25584,66.92167,87.35791,4.307366,0.06254503,4591.181,4.589271,-0.13757,0.0325073
2M12192856+0520304,282.25584,66.92167,87.35791,4.307366,0.06254503,4591.181,4.589271,-0.13757,0.0325073
2M12193006+2619528,217.50091,82.82585,59.72686,8.524157,0.3131084,4586.331,4.588186,-0.43593,0.0307303
